state,performance
0,25.0
1,29.0
2,28.0
3,35.0
4,42.0
5,43.0
6,42.0
7,49.0
8,32.0
9,37.0
10,43.0
11,43.0
12,46.0
13,51.0
14,57.0
15,57.0
16,35.0
17,35.0
18,36.0
19,39.0
20,49.0
21,49.0
22,50.0
23,53.0
24,36.0
25,39.0
26,45.0
27,45.0
28,50.0
29,53.0
30,59.0
31,59.0
32,29.0
33,33.0
34,30.0
35,37.0
36,43.0
37,47.0
38,44.0
39,51.0
40,38.0
41,41.0
42,45.0
43,45.0
44,52.0
45,55.0
46,59.0
47,59.0
48,38.0
49,39.0
50,38.0
51,41.0
52,52.0
53,53.0
54,52.0
55,55.0
56,42.0
57,43.0
58,47.0
59,47.0
60,56.0
61,57.0
62,61.0
63,61.0
64,28.0
65,29.0
66,28.0
67,35.0
68,42.0
69,43.0
70,42.0
71,49.0
72,32.0
73,37.0
74,43.0
75,43.0
76,46.0
77,51.0
78,57.0
79,57.0
80,39.0
81,46.0
82,52.0
83,52.0
84,53.0
85,60.0
86,66.0
87,66.0
88,41.0
89,46.0
90,52.0
91,52.0
92,55.0
93,60.0
94,66.0
95,66.0
96,29.0
97,33.0
98,30.0
99,37.0
100,43.0
101,47.0
102,44.0
103,51.0
104,38.0
105,41.0
106,45.0
107,45.0
108,52.0
109,55.0
110,59.0
111,59.0
112,47.0
113,50.0
114,54.0
115,54.0
116,61.0
117,64.0
118,68.0
119,68.0
120,47.0
121,50.0
122,54.0
123,54.0
124,61.0
125,64.0
126,68.0
127,68.0
128,28.0
129,29.0
130,28.0
131,35.0
132,42.0
133,43.0
134,42.0
135,49.0
136,32.0
137,37.0
138,43.0
139,43.0
140,46.0
141,51.0
142,57.0
143,57.0
144,35.0
145,35.0
146,36.0
147,39.0
148,49.0
149,49.0
150,50.0
151,53.0
152,36.0
153,39.0
154,45.0
155,45.0
156,50.0
157,53.0
158,59.0
159,59.0
160,29.0
161,42.0
162,35.0
163,42.0
164,43.0
165,56.0
166,49.0
167,56.0
168,50.0
169,50.0
170,50.0
171,50.0
172,64.0
173,64.0
174,64.0
175,64.0
176,39.0
177,46.0
178,41.0
179,46.0
180,53.0
181,60.0
182,55.0
183,60.0
184,52.0
185,52.0
186,52.0
187,52.0
188,66.0
189,66.0
190,66.0
191,66.0
192,28.0
193,29.0
194,28.0
195,35.0
196,42.0
197,43.0
198,42.0
199,49.0
200,32.0
201,37.0
202,43.0
203,43.0
204,46.0
205,51.0
206,57.0
207,57.0
208,39.0
209,46.0
210,52.0
211,52.0
212,53.0
213,60.0
214,66.0
215,66.0
216,41.0
217,46.0
218,52.0
219,52.0
220,55.0
221,60.0
222,66.0
223,66.0
224,29.0
225,42.0
226,35.0
227,42.0
228,43.0
229,56.0
230,49.0
231,56.0
232,50.0
233,50.0
234,50.0
235,50.0
236,64.0
237,64.0
238,64.0
239,64.0
240,59.0
241,59.0
242,59.0
243,59.0
244,73.0
245,73.0
246,73.0
247,73.0
248,59.0
249,59.0
250,59.0
251,59.0
252,73.0
253,73.0
254,73.0
255,73.0
256,28.0
257,29.0
258,28.0
259,35.0
260,42.0
261,43.0
262,42.0
263,49.0
264,32.0
265,37.0
266,43.0
267,43.0
268,46.0
269,51.0
270,57.0
271,57.0
272,51.0
273,51.0
274,51.0
275,51.0
276,65.0
277,65.0
278,65.0
279,65.0
280,51.0
281,51.0
282,51.0
283,51.0
284,65.0
285,65.0
286,65.0
287,65.0
288,29.0
289,33.0
290,30.0
291,37.0
292,43.0
293,47.0
294,44.0
295,51.0
296,40.0
297,41.0
298,45.0
299,45.0
300,54.0
301,55.0
302,59.0
303,59.0
304,52.0
305,52.0
306,52.0
307,52.0
308,66.0
309,66.0
310,66.0
311,66.0
312,52.0
313,52.0
314,52.0
315,52.0
316,66.0
317,66.0
318,66.0
319,66.0
320,28.0
321,35.0
322,28.0
323,35.0
324,42.0
325,49.0
326,42.0
327,49.0
328,43.0
329,43.0
330,43.0
331,43.0
332,57.0
333,57.0
334,57.0
335,57.0
336,52.0
337,52.0
338,52.0
339,52.0
340,66.0
341,66.0
342,66.0
343,66.0
344,52.0
345,52.0
346,52.0
347,52.0
348,66.0
349,66.0
350,66.0
351,66.0
352,29.0
353,37.0
354,30.0
355,37.0
356,43.0
357,51.0
358,44.0
359,51.0
360,45.0
361,45.0
362,45.0
363,45.0
364,59.0
365,59.0
366,59.0
367,59.0
368,54.0
369,54.0
370,54.0
371,54.0
372,68.0
373,68.0
374,68.0
375,68.0
376,54.0
377,54.0
378,54.0
379,54.0
380,68.0
381,68.0
382,68.0
383,68.0
384,28.0
385,29.0
386,28.0
387,35.0
388,42.0
389,43.0
390,42.0
391,49.0
392,32.0
393,37.0
394,43.0
395,43.0
396,46.0
397,51.0
398,57.0
399,57.0
400,51.0
401,51.0
402,51.0
403,51.0
404,65.0
405,65.0
406,65.0
407,65.0
408,51.0
409,51.0
410,51.0
